125308,125308,97,9305
125426,125426,101,9606
125576,125576,84,7775
125937,125937,55,5267
126067,126067,110,10443
126377,126377,383,36303
127456,127456,89,8252
127595,127595,116,11070
127811,127811,123,11743
127979,127979,32,3145
128071,128071,32,3008
128138,128138,132,12589
128308,128308,62,5752
128420,128420,254,24195
128698,128698,131,12597
128849,128849,160,15290
129161,129161,43,3985
129337,129337,190,18128
129546,129546,57,5075
129708,129708,68,6478
129923,129923,51,4754
130111,130111,65,6202
130317,130317,131,12462
130472,130472,115,11015
131674,131674,127,12071
131878,131878,118,11288
132082,132082,56,5205
132268,132268,45,4133
132332,132332,80,7637
132479,132479,55,5227
132578,132578,74,6877
132683,132683,160,15200
132895,132895,97,9305
133013,133013,101,9606
133163,133163,84,7775
133524,133524,55,5267
133654,133654,110,10443
133964,133964,383,36303
135043,135043,89,8252
135182,135182,116,11070
135398,135398,123,11743
135566,135566,32,3145
135658,135658,32,3008
135725,135725,132,12589
135895,135895,62,5752
136007,136007,254,24195
136285,136285,131,12597
136436,136436,160,15290
136748,136748,43,3985
136924,136924,190,18128
137133,137133,57,5075
137295,137295,68,6478
137510,137510,51,4754
137698,137698,65,6202
137904,137904,131,12462
138059,138059,115,11015
138509,138509,40,3722
138621,138621,163,15518
138831,138831,143,13743
139017,139017,60,5658
139101,139101,94,8712
139241,139241,64,6078
139651,139651,135,12898
139865,139865,201,19183
140086,140086,94,8590
140211,140211,124,11861
140358,140358,167,15873
140581,140581,134,12717
140783,140783,91,7980
140961,140961,64,5785
141116,141116,810,76996
141952,141952,351,33445
142322,142322,61,5751
142404,142404,300,28264
142725,142725,91,8414
142837,142837,258,24676
143117,143117,252,23959
143668,143668,54,4596
143864,143864,48,4207
143941,143941,160,15083
144129,144129,155,14826
144415,144415,46,4042
144821,144821,178,16955
145026,145026,256,24386
145307,145307,237,22675
145579,145579,65,5793
145681,145681,168,15973
146086,146086,77,7345
146308,146308,320,30453
146655,146655,515,49089
147298,147298,57,5183
147497,147497,101,9651
147622,147622,84,7779
147861,147861,48,4644
148090,148090,432,41023
148600,148600,70,6723
148782,148782,46,4405
148964,148964,189,18037
149173,149173,283,27068
149593,149593,125,11961
149737,149737,178,17063
150071,150071,46,4365
150261,150261,40,3707
150441,150441,65,5927
150535,150535,363,34636
151093,151093,122,11778
151301,151301,334,31844
151772,151772,46,4485
152184,152184,78,7495
152754,152754,38,3707
152817,152817,220,20966
153061,153061,144,13762
153279,153279,68,6476
153614,153614,51,4781
153847,153847,292,27959
154183,154183,39,3674
154304,154304,69,6619
